Date,GMV,Total Investment,Special_Sale_Flag,NPS,TV_Adstock_Log,Digital_Adstock_Log,Sponsorship_Adstock_Log,Content Marketing_Adstock_Log,Online marketing_Adstock_Log, Affiliates_Adstock_Log,SEM_Adstock_Log,Radio_Adstock_Log,Other_Adstock_Log
2015-07-05,623671.0,2.7580645161290325,0.0,54.6,0.03174869831458026,0.33877373360949214,0.7855205006909605,0.0,0.19035372849121887,0.07755823434587443,0.5913644862500029,0.0,0.0
2015-07-12,41002829.79975717,3.861290322580645,0.0,54.6,0.0655460778978709,0.5220526863597741,1.2199731456723772,0.0,0.3048721819338108,0.12136085700426741,0.7928465407830333,0.0,0.0
2015-07-19,47580418.763377585,3.861290322580645,1.0,54.6,0.088542462344534,0.5710706669101892,1.4117734464208755,0.0,0.33681779902746223,0.1298957594541048,0.8109302162163287,0.0,0.0
2015-07-26,45187859.5,3.861290322580645,0.0,54.6,0.10433095358257044,0.5853194661626745,1.5113626229124801,0.0,0.34620581724394833,0.13159403328429642,0.8127207269901169,0.0,0.0
2015-08-02,31331539.666666668,3.087096774193548,0.0,56.142857142857146,0.10367102475534438,0.5456710846578794,1.4780204129944674,0.0,0.2928465362023468,0.10905690140524542,0.7386677966682013,0.0,0.0
2015-08-09,20264.0,1.1516129032258062,0.0,60.0,0.07368237468752473,0.41295579989830716,1.187520789710563,0.0,0.1174734536906522,0.04461556402140384,0.5151147991844205,0.0,0.0
2015-08-16,11712.0,1.1516129032258062,1.0,60.0,0.052142051832957816,0.3694453524413591,0.9615517265356541,0.0,0.058246433738744524,0.031213555151016325,0.4897444859750765,0.0,0.0
2015-08-23,12129.0,1.1516129032258062,1.0,60.0,0.03678290851273862,0.35601428623635495,0.7965330511145667,0.0,0.03977200192252314,0.028511464121596355,0.48717169131865096,0.0,0.0
2015-08-30,78769.0,1.1516129032258062,1.0,60.0,0.025889398280911108,0.35194953587618644,0.6826372278573534,0.0,0.034162455825405495,0.027970168654087392,0.4869140474180352,0.0,0.0
2015-09-06,81877355.50525828,19.42451612903226,0.0,48.771428571428565,0.5868746979500816,0.37051922849760527,2.6520396908708337,0.11332868530700317,1.4571375631550771,0.6975867150977798,0.8685170614643627,0.0,0.0
2015-09-13,90902953.0,22.47,0.0,46.9,0.9037530406476305,0.37926665342048893,3.1596817642537687,0.1722712209404532,1.760399882489744,0.8622342246817282,0.9497270747423019,0.0,0.0
2015-09-20,91287730.0023558,22.47,0.0,46.9,1.0777957915948022,0.38187602929012204,3.373866985784733,0.19490867229942604,1.8359510302978144,0.8921439107594824,0.9574968081507297,0.0,0.0
2015-09-27,94849020.0,22.47,0.0,46.9,1.1837916911425723,0.38265751617197596,3.4833316830493155,0.20382208823995715,1.857546470107193,0.8980199763714963,0.9582704715013499,0.0,0.0
2015-10-04,61022336.0,31.591290322580644,0.0,45.471428571428575,1.3254324914696367,1.066660281045442,3.614960030085049,0.46319404495146604,2.0029364626825306,0.9910914329616424,1.7744178639704198,0.0,0.0
2015-10-11,41071612.0,38.43225806451613,0.0,44.4,1.4614223178182295,1.4854288208617703,3.7332724186396047,0.6948450416035972,2.132142278370718,1.0714054623520604,2.162507813398144,0.0,0.0
2015-10-18,295492713.97561246,38.43225806451613,1.0,44.4,1.5466857808888612,1.583138906254601,3.798075511182897,0.7743129702935193,2.167858856072803,1.086722257795975,2.194166223201213,0.0,0.0
2015-10-25,46048416.57130428,38.43225806451613,0.0,44.4,1.602319876084138,1.610682535917404,3.835032897376175,0.804412348416754,2.1783297248485374,1.08975766427373,2.197277630654526,0.0,0.0
2015-11-01,90354546.93484172,34.648602150537634,0.0,44.771428571428565,1.6284206920480317,1.5441334678174563,3.8076365062758257,0.7695915037201321,2.166235656420264,1.0884102197825296,2.097720291672104,0.0,0.0
2015-11-08,114494300.55483012,11.946666666666667,1.0,47.0,1.5783752947350305,0.8790069147056442,3.4255531762577087,0.41225555916082984,2.065716074589049,1.0763359626220326,1.0743506053282077,0.0,0.0
2015-11-15,93266712.604844,11.946666666666667,1.0,47.0,1.541791000507971,0.5457401553895145,3.0981588934946656,0.22374721045941134,2.033478391499154,1.0739035175706446,0.8780248065640424,0.0,0.0
2015-11-22,46737426.38417806,11.946666666666667,0.0,47.0,1.5153615853210802,0.4194330560380768,2.8336606196597924,0.13712245098815684,2.023600885227862,1.0734163177388736,0.8560937378300937,0.0,0.0
2015-11-29,46297720.50108554,11.946666666666667,0.0,47.0,1.496436389543046,0.378205596277751,2.6331755346465746,0.10025620223558783,2.0206185074018443,1.0733188492824008,0.8538739436749666,0.0,0.0
2015-12-06,64928210.04711844,22.35827956989247,0.0,45.97142857142857,1.528484622335062,0.5773053929578424,3.0055967007509774,0.23250086130955963,2.0758185752428773,1.0719750766570886,1.2458672699776723,0.0,0.0
2015-12-13,107532758.28816596,24.093548387096774,0.0,45.8,1.5575515004613882,0.6597815220943615,3.2316808770789165,0.3023891734149831,2.100709488730739,1.0714851623173636,1.3288313006648094,0.0,0.0
2015-12-20,67547539.53839444,24.093548387096774,0.0,45.8,1.5774070184292583,0.6832538532685302,3.3462671879336967,0.3290318978083132,2.1080575323156556,1.0713871506409052,1.3367613493280792,0.0,0.0
2015-12-27,152436808.8072928,24.093548387096774,1.0,45.8,1.5910749716954484,0.6901894459762041,3.409203506342057,0.33949336063203867,2.110251457715181,1.071367547152806,1.3375509064235505,0.0,0.0
2016-01-03,69968539.37556222,20.94838709677419,1.0,46.357142857142854,1.5808114271513627,0.5576796736732407,3.2683236513706455,0.3298263772379218,2.115586559476305,1.0910578980967398,1.141857928961938,0.2321352625061738,1.2871866572592514
2016-01-10,65975118.25001156,16.75483870967742,0.0,47.1,1.5464504404142794,0.29034433735915893,2.839589951703061,0.3071290958897099,2.1233750025867324,1.1205212533345896,0.7708696931114785,0.5540704872189973,2.067638285542989
2016-01-17,65860781.336347856,16.75483870967742,0.0,47.1,1.5216753550507316,0.19389561041095066,2.4521799514939375,0.29790394490757993,2.125699755785365,1.1263111678186848,0.7249130780139699,0.6830153816295383,2.218245802623085
2016-01-24,141815127.49268022,16.75483870967742,1.0,47.1,1.5039601873060071,0.16304876643743846,2.118249775732992,0.2941899229231511,2.1263961291769355,1.1274651387843582,0.7201990861203488,0.7417453140038712,2.2593344123545043
2016-01-31,74779556.62663195,16.75483870967742,0.0,47.1,1.4913701560015604,0.15360606277777275,1.8466150784359707,0.2927004431945528,2.1266049466670136,1.1276957732656252,0.719726462428081,0.7698655100456565,2.2713388449130334
2016-02-07,72885771.00017656,11.610344827586207,1.0,50.3,1.3957028734654162,0.4110694580832869,1.949779081711547,0.24751932224615988,2.0818576424700552,1.0941596707070873,0.8277417747106394,0.45725894924429755,1.283073391916885
2016-02-14,66452267.80325553,11.610344827586207,1.0,50.3,1.3228364183967538,0.476948040491028,2.006927154102915,0.22885936932182152,2.0680334572875667,1.0873153462880887,0.8379283299568385,0.2545406253162066,0.5779120621313282
2016-02-21,91876797.10278392,11.610344827586207,1.0,50.3,1.2684743974361012,0.49589406553338683,2.039711305763537,0.22129678985025333,2.0638486588978036,1.085940842022603,0.838941301529265,0.13534740899880054,0.2108231297840718
2016-02-28,79720595.02527745,11.610344827586207,0.0,50.3,1.2285824440279116,0.5015085777845777,2.0588779914479356,0.21825567113295838,2.062589796797577,1.0856657143125612,0.8390425422732396,0.0699618239438737,0.06804005848327073
2016-03-06,70669494.00684953,21.01345939933259,0.0,49.18571428571429,1.5219442527259162,0.5112247236466253,2.606929874252626,0.17870756171035287,1.9888864252543539,1.0354665941656558,0.8358752204183869,0.19097332816635618,1.41063125454805
2016-03-13,146681656.81016764,22.58064516129032,1.0,49.0,1.723977718087806,0.5154507940481422,2.886361886610415,0.1557987443335351,1.9526099807630406,1.0164198314118769,0.8350272101814606,0.26883512179371566,1.7083570491822604
2016-03-20,72968379.24160713,22.58064516129032,0.0,49.0,1.8444705821155896,0.5167151403650001,3.0228769256435717,0.14648622120961044,1.9414653704790514,1.0125665551747711,0.8349423695926731,0.3056046258043059,1.7827671791387627
2016-03-27,66385743.58579507,22.58064516129032,0.0,49.0,1.9209329903710495,0.5170941327486546,3.0966514878192575,0.142736793047397,1.9380976231400895,1.0117941149895342,0.8349338851378949,0.32349450121392875,1.8040517776199776
2016-04-03,68594513.76478463,18.583225806451612,0.0,50.2,1.9167943288449218,0.4473181488609399,3.066749258903317,0.10704413237436317,1.9180765292129394,1.0006709501648194,0.798152892342046,0.26781347578902015,1.5203608997831137
2016-04-10,80814523.77988814,13.253333333333334,0.0,51.8,1.8362105097979007,0.32152794789427563,2.9419724415569735,0.04420189107511533,1.8859106973163833,0.9835834271961655,0.7429574865420939,0.14284557910360793,0.7285928359901708
2016-04-17,65139348.62046418,13.253333333333334,0.0,51.8,1.7756706105290703,0.2804837760042737,2.858876281738231,0.017915887265285035,1.87605567253815,0.9801306030940012,0.7372666153069775,0.07397123139807081,0.2788800516151534
2016-04-24,45435464.25046678,13.253333333333334,0.0,51.8,1.7310006070403343,0.2678346742196809,2.805488398239031,0.0072049179383839946,1.8730801263528245,0.9794386053255666,0.7366957428899206,0.03766942770285784,0.09211840187490258
2016-05-01,115056622.0800146,13.879354838709675,0.0,51.15714285714285,1.674770841343242,0.2607828281338559,2.7852377874718104,0.02829472784570728,1.904643073874362,0.9902647268729162,0.7754102468974057,0.0532353438898446,0.1741538878508428
2016-05-08,70811354.0,17.63548387096774,0.0,47.3,1.4707341565583132,0.23903964709895664,2.8495652022177107,0.1757371702734798,2.087746437897345,1.0556606922924219,0.984028926710897,0.24351543672674716,0.7821209058103469
2016-05-15,73350364.0,17.63548387096774,0.0,47.3,1.2982359539989756,0.23242342209634087,2.886264701433977,0.22912167702469136,2.1367226565902713,1.0682419176191464,1.0026833758847418,0.3266023333599431,0.9102176962008621
