Channel,Relative_Importance,Weight,Share_of_Media_Contribution_%,Estimated_Sales_Driven,Total_Spend,ROAS
Radio,0.014283198991970907,0.102,1.0078526576883633,12987987.96614634,4.7,2763401.694924753
TV,0.10392103361718821,0.088,7.33288740006222,94497397.59337232,44.400000000000006,2128319.7656164933
Sponsorship,0.8417927155689361,0.322,59.398670149857466,765458330.8644601,365.3999999999999,2094850.385507554
Content Marketing,0.01616547264217786,0.08,1.1406698579475107,14699575.652604025,7.999999999999999,1837446.9565755033
Digital,0.046214332013934954,0.09,3.2609807767657277,42023582.279984325,29.800000000000004,1410187.3248316885
SEM,0.11467038585740162,0.12,8.09138437471177,104271990.63924676,91.10000000000001,1144588.2616821816
Online marketing,0.23954548310678145,0.145,16.902834716657452,217823321.91020456,193.70000000000005,1124539.6071771013
Other,0.04059856016775257,0.082,2.8647200663094763,36917052.769344516,48.00000000000001,769105.2660280106
